,b,delta,H,MAPE
99,-10.0,1199,"[-377199.0, -702049.0, -868479.0, -1034624.0, -1340199.0]",0.3006429075430012
100,-10.0,1200,"[-377216.0, -700890.0, -866225.0, -1031485.0, -1334180.0]",0.2997183292049459
101,-10.0,1201,"[-377167.0, -699609.0, -863819.0, -1028164.0, -1327919.0]",0.2987867371024778
102,-10.0,1202,"[-377052.0, -698206.0, -861261.0, -1024661.0, -1321416.0]",0.297847567223245
103,-10.0,1203,"[-376871.0, -696681.0, -858551.0, -1020976.0, -1314671.0]",0.29690024017339345
104,-10.0,1204,"[-376624.0, -695034.0, -855689.0, -1017109.0, -1307684.0]",0.29594415988184775
105,-10.0,1205,"[-376311.0, -693265.0, -852675.0, -1013060.0, -1300455.0]",0.29497871223292316
106,-10.0,1206,"[-375932.0, -691374.0, -849509.0, -1008829.0, -1292984.0]",0.294003263620305
107,-10.0,1207,"[-375487.0, -689361.0, -846191.0, -1004416.0, -1285271.0]",0.293017159414825
108,-10.0,1208,"[-374976.0, -687226.0, -842721.0, -999821.0, -1277316.0]",0.2920197223377953
109,-10.0,1209,"[-374399.0, -684969.0, -839099.0, -995044.0, -1269119.0]",0.29101025073090814
110,-10.0,1210,"[-373756.0, -682590.0, -835325.0, -990085.0, -1260680.0]",0.2899880167128714
111,-10.0,1211,"[-373047.0, -680089.0, -831399.0, -984944.0, -1251999.0]",0.28895226421201325
112,-10.0,1212,"[-372272.0, -677466.0, -827321.0, -979621.0, -1243076.0]",0.2879022068630426
113,-10.0,1213,"[-371431.0, -674721.0, -823091.0, -974116.0, -1233911.0]",0.2868370257549782
114,-10.0,1214,"[-370524.0, -671854.0, -818709.0, -968429.0, -1224504.0]",0.28575586701594957
115,-10.0,1215,"[-369551.0, -668865.0, -814175.0, -962560.0, -1214855.0]",0.284657839219098
116,-10.0,1216,"[-368512.0, -665754.0, -809489.0, -956509.0, -1204964.0]",0.28354201059215606
117,-10.0,1217,"[-367407.0, -662521.0, -804651.0, -950276.0, -1194831.0]",0.28240740601142905
118,-10.0,1218,"[-366236.0, -659166.0, -799661.0, -943861.0, -1184456.0]",0.2812530037588089
119,-10.0,1219,"[-364999.0, -655689.0, -794519.0, -937264.0, -1173839.0]",0.2800777320181035
120,-10.0,1220,"[-363696.0, -652090.0, -789225.0, -930485.0, -1162980.0]",0.27888046508430475
121,-10.0,1221,"[-362327.0, -648369.0, -783779.0, -923524.0, -1151879.0]",0.27766001925642103
122,-10.0,1222,"[-360892.0, -644526.0, -778181.0, -916381.0, -1140536.0]",0.276415148381103
123,-10.0,1223,"[-359391.0, -640561.0, -772431.0, -909056.0, -1128951.0]",0.2751445390104425
124,-10.0,1224,"[-357824.0, -636474.0, -766529.0, -901549.0, -1117124.0]",0.27384680513295406
125,-10.0,1225,"[-356191.0, -632265.0, -760475.0, -893860.0, -1105055.0]",0.2725204824317755
126,-10.0,1226,"[-354492.0, -627934.0, -754269.0, -885989.0, -1092744.0]",0.27116402201845924
127,-10.0,1227,"[-352727.0, -623481.0, -747911.0, -877936.0, -1080191.0]",0.26977578358425813
128,-10.0,1228,"[-350896.0, -618906.0, -741401.0, -869701.0, -1067396.0]",0.26835402790340707
129,-10.0,1229,"[-348999.0, -614209.0, -734739.0, -861284.0, -1054359.0]",0.266896908614425
130,-10.0,1230,"[-347036.0, -609390.0, -727925.0, -852685.0, -1041080.0]",0.2654024631957153
131,-10.0,1231,"[-345007.0, -604449.0, -720959.0, -843904.0, -1027559.0]",0.2638686030405339
132,-10.0,1232,"[-342912.0, -599386.0, -713841.0, -834941.0, -1013796.0]",0.2622931025234559
133,-10.0,1233,"[-340751.0, -594201.0, -706571.0, -825796.0, -999791.0]",0.2606735869355169
134,-10.0,1234,"[-338524.0, -588894.0, -699149.0, -816469.0, -985544.0]",0.2590075191478688
135,-10.0,1235,"[-336231.0, -583465.0, -691575.0, -806960.0, -971055.0]",0.25729218484365146
136,-10.0,1236,"[-333872.0, -577914.0, -683849.0, -797269.0, -956324.0]",0.2555246761343211
137,-10.0,1237,"[-331447.0, -572241.0, -675971.0, -787396.0, -941351.0]",0.2537018733492806
138,-10.0,1238,"[-328956.0, -566446.0, -667941.0, -777341.0, -926136.0]",0.2518204247555727
139,-10.0,1239,"[-326399.0, -560529.0, -659759.0, -767104.0, -910679.0]",0.24987672392672283
140,-9.9,1100,"[-44856.80000000002, -205631.0, -330221.5, -433726.5, -723967.0]",0.5319047806411724
141,-9.9,1101,"[-51407.80000000002, -216550.0, -343015.5, -448605.5, -741906.0]",0.5217002996639216
142,-9.9,1102,"[-57892.80000000002, -227347.0, -355657.5, -463302.5, -759603.0]",0.512269195002819
143,-9.9,1103,"[-64311.80000000002, -238022.0, -368147.5, -477817.5, -777058.0]",0.5035251440148653
144,-9.9,1104,"[-70664.80000000002, -248575.0, -380485.5, -492150.5, -794271.0]",0.4953941773085454
145,-9.9,1105,"[-76951.80000000002, -259006.00000000003, -392671.5, -506301.5, -811242.0]",0.48781254447327227
146,-9.9,1106,"[-83172.80000000002, -269315.0, -404705.50000000006, -520270.49999999994, -827971.0]",0.48072500749013924
147,-9.9,1107,"[-89327.80000000002, -279502.0, -416587.50000000006, -534057.5, -844458.0]",0.4740834650687858
148,-9.9,1108,"[-95416.80000000002, -289567.0, -428317.50000000006, -547662.5, -860703.0]",0.4678458353880968
149,-9.9,1109,"[-101439.80000000002, -299510.0, -439895.50000000006, -561085.5, -876706.0]",0.4619751423307128
150,-9.9,1110,"[-107396.80000000002, -309331.0, -451321.50000000006, -574326.5, -892467.0]",0.456438763243504
