,b,delta,H,MAPE
109,-10.0,1209,"[24571.0, 52521.0, 79741.0, 105146.0, 193771.0]",0.5117586396050466
110,-10.0,1210,"[25544.0, 55510.0, 84275.0, 111015.0, 203420.0]",0.5107903052334064
111,-10.0,1211,"[26583.0, 58621.0, 88961.0, 117066.0, 213311.0]",0.5096114892318182
112,-10.0,1212,"[27688.0, 61854.0, 93799.0, 123299.0, 223444.0]",0.5082568045819154
113,-10.0,1213,"[28859.0, 65209.0, 98789.0, 129714.0, 233819.0]",0.5067560524092812
114,-10.0,1214,"[30096.0, 68686.0, 103931.0, 136311.0, 244436.0]",0.5051348849964008
115,-10.0,1215,"[31399.0, 72285.0, 109225.0, 143090.0, 255295.0]",0.50341537787055
116,-10.0,1216,"[32768.0, 76006.0, 114671.0, 150051.0, 266396.0]",0.5016165227882204
117,-10.0,1217,"[34203.0, 79849.0, 120269.0, 157194.0, 277739.0]",0.4997546521948319
118,-10.0,1218,"[35704.0, 83814.0, 126019.0, 164519.0, 289324.0]",0.4978438045125683
119,-10.0,1219,"[37271.0, 87901.0, 131921.0, 172026.0, 301151.0]",0.4958960384515317
120,-10.0,1220,"[38904.0, 92110.0, 137975.0, 179715.0, 313220.0]",0.4939217034769873
121,-10.0,1221,"[40603.0, 96441.0, 144181.0, 187586.0, 325531.0]",0.4919296726095309
122,-10.0,1222,"[42368.0, 100894.0, 150539.0, 195639.0, 338084.0]",0.48992754288697365
123,-10.0,1223,"[44199.0, 105469.0, 157049.0, 203874.0, 350879.0]",0.4879218080722486
124,-10.0,1224,"[46096.0, 110166.0, 163711.0, 212291.0, 363916.0]",0.4859180075431275
125,-10.0,1225,"[48059.0, 114985.0, 170525.0, 220890.0, 377195.0]",0.4839208547379178
126,-10.0,1226,"[50088.0, 119926.0, 177491.0, 229671.0, 390716.0]",0.48193434804709606
127,-10.0,1227,"[52183.0, 124989.0, 184609.0, 238634.0, 404479.0]",0.4799618666247385
128,-10.0,1228,"[54344.0, 130174.0, 191879.0, 247779.0, 418484.0]",0.47800625323691326
129,-10.0,1229,"[56571.0, 135481.0, 199301.0, 257106.0, 432731.0]",0.4760698859589896
130,-10.0,1230,"[58864.0, 140910.0, 206875.0, 266615.0, 447220.0]",0.47415474027295346
131,-10.0,1231,"[61223.0, 146461.0, 214601.0, 276306.0, 461951.0]",0.4722624428930621
132,-10.0,1232,"[63648.0, 152134.0, 222479.0, 286179.0, 476924.0]",0.47039431845801943
133,-10.0,1233,"[66139.0, 157929.0, 230509.0, 296234.0, 492139.0]",0.4685514300655698
134,-10.0,1234,"[68696.0, 163846.0, 238691.0, 306471.0, 507596.0]",0.4667346144868902
135,-10.0,1235,"[71319.0, 169885.0, 247025.0, 316890.0, 523295.0]",0.4649445127799014
136,-10.0,1236,"[74008.0, 176046.0, 255511.0, 327491.0, 539236.0]",0.4631815969196061
137,-10.0,1237,"[76763.0, 182329.0, 264149.0, 338274.0, 555419.0]",0.4614461929772311
138,-10.0,1238,"[79584.0, 188734.0, 272939.0, 349239.0, 571844.0]",0.4597385013061258
139,-10.0,1239,"[82471.0, 195261.0, 281881.0, 360386.0, 588511.0]",0.45805861412917376
140,-9.9,1100,"[314513.2, 458659.0, 497418.5, 557263.5, 593723.0]",0.1614308889264401
141,-9.9,1101,"[308288.9, 448343.9, 485376.9000000001, 543285.4, 576981.9]",0.1594038294408319
142,-9.9,1102,"[302130.6, 438150.8, 473487.29999999993, 529489.3, 560482.8]",0.1573223168161974
143,-9.9,1103,"[296038.3, 428079.7, 461749.7, 515875.2, 544225.7]",0.15518421762441387
144,-9.9,1104,"[290012.0, 418130.60000000003, 450164.10000000003, 502443.10000000003, 528210.6]",0.15298729022233562
145,-9.9,1105,"[284051.7, 408303.5, 438730.5, 489193.0000000001, 512437.5]",0.1507291781250595
146,-9.9,1106,"[278157.4, 398598.4, 427448.89999999997, 476124.9, 496906.4]",0.1484074029142572
147,-9.9,1107,"[272329.1, 389015.3, 416319.29999999993, 463238.80000000005, 481617.3]",0.1460193566461006
148,-9.9,1108,"[266566.8, 379554.2, 405341.7, 450534.69999999995, 466570.2]",0.14356229372057125
149,-9.9,1109,"[260870.50000000003, 370215.10000000003, 394516.1000000001, 438012.6, 451765.1]",0.14103332217105388
150,-9.9,1110,"[255240.2, 360998.0, 383842.5, 425672.50000000006, 437202.0]",0.13842939433004084
151,-9.9,1111,"[249675.9, 351902.9, 373320.89999999997, 413514.4, 422880.9]",0.1357472968235434
152,-9.9,1112,"[244177.59999999998, 342929.8, 362951.29999999993, 401538.30000000005, 408801.8]",0.13298363984342637
153,-9.9,1113,"[238745.3, 334078.7, 352733.7, 389744.19999999995, 394964.7]",0.13013484564336347
154,-9.9,1114,"[233379.00000000003, 325349.60000000003, 342668.1000000001, 378132.1, 381369.6]",0.12719713620050443
155,-9.9,1115,"[228078.7, 316742.5, 332754.5, 366702.00000000006, 368016.5]",0.12416651998127892
156,-9.9,1116,"[222844.4, 308257.4, 322992.9, 355453.9, 354905.4]",0.12103877774610187
157,-9.9,1117,"[217676.09999999998, 299894.3, 313383.29999999993, 344387.80000000005, 342036.3]",0.1178094473241931
158,-9.9,1118,"[212573.8, 291653.2, 303925.7, 333503.69999999995, 329409.2]",0.11447380728636439
159,-9.9,1119,"[207537.50000000003, 283534.1, 294620.1, 322801.6, 317024.1]",0.11102685944064938
160,-9.9,1120,"[202567.2, 275537.0, 285466.5, 312281.50000000006, 304881.0]",0.10746331007322778
161,-9.9,1121,"[197662.9, 267661.9, 276464.9, 301943.39999999997, 292979.9]",0.10425528890644449
162,-9.9,1122,"[192824.59999999998, 259908.8, 267615.30000000005, 291787.3, 281320.8]",0.10184609180608117
163,-9.9,1123,"[188052.3, 252277.7, 258917.7, 281813.19999999995, 269903.7]",0.09934832688311088
164,-9.9,1124,"[183346.00000000003, 244768.6, 250372.09999999998, 272021.1, 258728.6]",0.09675739168949929
165,-9.9,1125,"[178705.7, 237381.5, 241978.49999999997, 262411.0, 247795.5]",0.09406838577516434
166,-9.9,1126,"[174131.4, 230116.4, 233736.9, 252982.9, 237104.4]",0.09127608876029189
167,-9.9,1127,"[169623.09999999998, 222973.3, 225647.30000000002, 243736.8, 226655.3]",0.0883749367786729
168,-9.9,1128,"[165180.8, 215952.2, 217709.7, 234672.7, 216448.2]",0.08535899720714142
169,-9.9,1129,"[160804.50000000003, 209053.1, 209924.09999999998, 225790.6, 206483.1]",0.082221941605173
170,-9.9,1130,"[156494.2, 202276.0, 202290.49999999997, 217090.5, 196760.0]",0.0789570168031714
171,-9.9,1131,"[152249.9, 195620.9, 194808.9, 208572.4, 187278.9]",0.07646758604670488
172,-9.9,1132,"[148071.59999999998, 189087.8, 187479.3, 200236.3, 178039.8]",0.07764745909580835
173,-9.9,1133,"[143959.3, 182676.7, 180301.7, 192082.2, 169042.7]",0.07884924428261281
174,-9.9,1134,"[139913.0, 176387.6, 173276.09999999998, 184110.1, 160287.6]",0.08007238591496336
175,-9.9,1135,"[135932.7, 170220.5, 166402.49999999997, 176320.0, 151774.5]",0.0813161103313282
176,-9.9,1136,"[132018.4, 164175.4, 159680.90000000002, 168711.9, 143503.4]",0.08257938522829358
177,-9.9,1137,"[128170.09999999999, 158252.30000000002, 153111.30000000002, 161285.8, 135474.3]",0.08386087184219129
178,-9.9,1138,"[124387.79999999999, 152451.2, 146693.7, 154041.7, 127687.2]",0.08515886870914288
179,-9.9,1139,"[120671.50000000001, 146772.1, 140428.09999999998, 146979.6, 120142.1]",0.0864712454966226
180,-9.9,1140,"[117021.20000000001, 141215.0, 134314.5, 140099.5, 112839.0]",0.08779536512772017
181,-9.9,1141,"[113436.9, 135779.9, 128352.90000000001, 133401.40000000002, 105777.9]",0.08912799210051421
182,-9.9,1142,"[109918.6, 130466.8, 122543.30000000002, 126885.29999999999, 98958.8]",0.09046518453298111
183,-9.9,1143,"[106466.3, 125275.7, 116885.7, 120551.20000000001, 92381.7]",0.09180216703237373
184,-9.9,1144,"[103080.0, 120206.59999999999, 111380.09999999998, 114399.1, 86046.6]",0.09313318099150758
185,-9.9,1145,"[99759.7, 115259.5, 106026.5, 108428.99999999999, 79953.5]",0.0944513083492433
186,-9.9,1146,"[96505.4, 110434.4, 100824.9, 102640.90000000001, 74102.4]",0.09574826421854747
187,-9.9,1147,"[93317.1, 105731.3, 95775.30000000002, 97034.79999999999, 68493.3]",0.10243061936545042
188,-9.9,1148,"[90194.8, 101150.2, 90877.7, 91610.70000000001, 63126.2]",0.11106619467795184
189,-9.9,1149,"[87138.5, 96691.09999999999, 86132.1, 86368.6, 58001.1]",0.1200255640774512
190,-9.9,1150,"[84148.2, 92354.0, 81538.5, 81308.49999999999, 53118.0]",0.1293124113301697
191,-9.9,1151,"[81223.9, 88138.9, 77096.9, 76430.40000000001, 48476.9]",0.13892726063435906
192,-9.9,1152,"[78365.6, 84045.8, 72807.3, 71734.3, 44077.8]",0.14886648123184631
193,-9.9,1153,"[75573.3, 80074.7, 68669.7, 67220.2, 39920.7]",0.1591210486015448
194,-9.9,1154,"[72847.0, 76225.6, 64684.100000000006, 62888.1, 36005.6]",0.16967501081079708
195,-9.9,1155,"[70186.7, 72498.5, 60850.50000000001, 58738.0, 32332.499999999996]",0.18174756675181986
196,-9.9,1156,"[67592.4, 68893.4, 57168.9, 54769.9, 28901.4]",0.196585246244492
197,-9.9,1157,"[65064.100000000006, 65410.3, 53639.299999999996, 50983.8, 25712.3]",0.21186182421059332
198,-9.9,1158,"[62601.8, 62049.2, 50261.7, 47379.7, 22765.2]",0.2275231619015284
199,-9.9,1159,"[60205.49999999999, 58810.1, 47036.100000000006, 43957.6, 20060.1]",0.2434922679852253
200,-9.9,1160,"[57875.2, 55693.0, 43962.50000000001, 40717.5, 17597.0]",0.25966368490010433
201,-9.9,1161,"[55610.9, 52697.9, 41040.899999999994, 37659.4, 15375.9]",0.27589692912024105
202,-9.9,1162,"[53412.600000000006, 49824.8, 38271.299999999996, 34783.3, 13396.8]",0.29200901687395364
203,-9.9,1163,"[51280.29999999999, 47073.7, 35653.7, 32089.199999999997, 11659.7]",0.30776623765306044
204,-9.9,1164,"[49213.99999999999, 44444.6, 33188.100000000006, 29577.1, 10164.6]",0.32443123290697307
205,-9.9,1165,"[47213.7, 41937.5, 30874.5, 27247.000000000004, 8911.5]",0.3416161173793507
206,-9.9,1166,"[45279.4, 39552.4, 28712.9, 25098.899999999998, 7900.4]",0.3577655857626379
207,-9.9,1167,"[43411.100000000006, 37289.3, 26703.299999999996, 23132.800000000003, 7131.3]",0.37239325390541583
208,-9.9,1168,"[41608.799999999996, 35148.2, 24845.7, 21348.699999999997, 6604.2]",0.3849275523404623
