,b,delta,H,MAPE
127,-19.5,1177,"[-736251.0, -1386286.0, -1734943.5, -2079693.5, -2761626.0]",0.3131005426035775
128,-19.5,1178,"[-737720.0, -1387811.0, -1736033.5, -2080558.5, -2760931.0]",0.31259553255673234
129,-19.5,1179,"[-739123.0, -1389214.0, -1736971.5, -2081241.5, -2759994.0]",0.3120912040414658
130,-19.0,1115,"[-496479.0, -1017175.0, -1325490.0, -1616825.0, -2261025.0]",0.35463851836104066
131,-19.0,1116,"[-502040.0, -1026264.0, -1336004.0, -1628974.0, -2275334.0]",0.3536503178788692
132,-19.0,1117,"[-507535.0, -1035231.0, -1346366.0, -1640941.0, -2289401.0]",0.35268186373318533
133,-19.0,1118,"[-512964.0, -1044076.0, -1356576.0, -1652726.0, -2303226.0]",0.3517323942349796
134,-19.0,1119,"[-518327.0, -1052799.0, -1366634.0, -1664329.0, -2316809.0]",0.35080118250045017
135,-19.0,1120,"[-523624.0, -1061400.0, -1376540.0, -1675750.0, -2330150.0]",0.34988753440276116
136,-19.0,1121,"[-528855.0, -1069879.0, -1386294.0, -1686989.0, -2343249.0]",0.3489907866643973
137,-19.0,1122,"[-534020.0, -1078236.0, -1395896.0, -1698046.0, -2356106.0]",0.34811030507890905
138,-19.0,1123,"[-539119.0, -1086471.0, -1405346.0, -1708921.0, -2368721.0]",0.34724548285184464
139,-19.0,1124,"[-544152.0, -1094584.0, -1414644.0, -1719614.0, -2381094.0]",0.34639573905157445
140,-19.0,1125,"[-549119.0, -1102575.0, -1423790.0, -1730125.0, -2393225.0]",0.3455605171615292
141,-19.0,1126,"[-554020.0, -1110444.0, -1432784.0, -1740454.0, -2405114.0]",0.34473928372610874
142,-19.0,1127,"[-558855.0, -1118191.0, -1441626.0, -1750601.0, -2416761.0]",0.3439315270831841
143,-19.0,1128,"[-563624.0, -1125816.0, -1450316.0, -1760566.0, -2428166.0]",0.34313675617671746
144,-19.0,1129,"[-568327.0, -1133319.0, -1458854.0, -1770349.0, -2439329.0]",0.3423544994435684
145,-19.0,1130,"[-572964.0, -1140700.0, -1467240.0, -1779950.0, -2450250.0]",0.3415843037690471
146,-19.0,1131,"[-577535.0, -1147959.0, -1475474.0, -1789369.0, -2460929.0]",0.34082573350622564
147,-19.0,1132,"[-582040.0, -1155096.0, -1483556.0, -1798606.0, -2471366.0]",0.34007836955442133
148,-19.0,1133,"[-586479.0, -1162111.0, -1491486.0, -1807661.0, -2481561.0]",0.3393418084926377
149,-19.0,1134,"[-590852.0, -1169004.0, -1499264.0, -1816534.0, -2491514.0]",0.338615661764084
150,-19.0,1135,"[-595159.0, -1175775.0, -1506890.0, -1825225.0, -2501225.0]",0.33789955490820034
151,-19.0,1136,"[-599400.0, -1182424.0, -1514364.0, -1833734.0, -2510694.0]",0.3371931268368938
152,-19.0,1137,"[-603575.0, -1188951.0, -1521686.0, -1842061.0, -2519921.0]",0.3364960291519469
153,-19.0,1138,"[-607684.0, -1195356.0, -1528856.0, -1850206.0, -2528906.0]",0.3358079255007905
154,-19.0,1139,"[-611727.0, -1201639.0, -1535874.0, -1858169.0, -2537649.0]",0.3351284909680469
155,-19.0,1140,"[-615704.0, -1207800.0, -1542740.0, -1865950.0, -2546150.0]",0.3344574115004428
156,-19.0,1141,"[-619615.0, -1213839.0, -1549454.0, -1873549.0, -2554409.0]",0.33379438336286904
157,-19.0,1142,"[-623460.0, -1219756.0, -1556016.0, -1880966.0, -2562426.0]",0.33313911262353013
158,-19.0,1143,"[-627239.0, -1225551.0, -1562426.0, -1888201.0, -2570201.0]",0.332491314666269
159,-19.0,1144,"[-630952.0, -1231224.0, -1568684.0, -1895254.0, -2577734.0]",0.33185071372830044
160,-19.0,1145,"[-634599.0, -1236775.0, -1574790.0, -1902125.0, -2585025.0]",0.33121704246170014
161,-19.0,1146,"[-638180.0, -1242204.0, -1580744.0, -1908814.0, -2592074.0]",0.33059004151712335
162,-19.0,1147,"[-641695.0, -1247511.0, -1586546.0, -1915321.0, -2598881.0]",0.3299694591483255
163,-19.0,1148,"[-645144.0, -1252696.0, -1592196.0, -1921646.0, -2605446.0]",0.3293550508361598
164,-19.0,1149,"[-648527.0, -1257759.0, -1597694.0, -1927789.0, -2611769.0]",0.3287465789308138
165,-19.0,1150,"[-651844.0, -1262700.0, -1603040.0, -1933750.0, -2617850.0]",0.3281438123111333
166,-19.0,1151,"[-655095.0, -1267519.0, -1608234.0, -1939529.0, -2623689.0]",0.32754652605995555
167,-19.0,1152,"[-658280.0, -1272216.0, -1613276.0, -1945126.0, -2629286.0]",0.32695450115444535
168,-19.0,1153,"[-661399.0, -1276791.0, -1618166.0, -1950541.0, -2634641.0]",0.3263675241704945
169,-19.0,1154,"[-664452.0, -1281244.0, -1622904.0, -1955774.0, -2639754.0]",0.3257853870003018
170,-19.0,1155,"[-667439.0, -1285575.0, -1627490.0, -1960825.0, -2644625.0]",0.32520788658230915
171,-19.0,1156,"[-670360.0, -1289784.0, -1631924.0, -1965694.0, -2649254.0]",0.3246348246427203
172,-19.0,1157,"[-673215.0, -1293871.0, -1636206.0, -1970381.0, -2653641.0]",0.3240660074478742
173,-19.0,1158,"[-676004.0, -1297836.0, -1640336.0, -1974886.0, -2657786.0]",0.3235012455667911
174,-19.0,1159,"[-678727.0, -1301679.0, -1644314.0, -1979209.0, -2661689.0]",0.32294035364324847
175,-19.0,1160,"[-681384.0, -1305400.0, -1648140.0, -1983350.0, -2665350.0]",0.32238315017678254
176,-19.0,1161,"[-683975.0, -1308999.0, -1651814.0, -1987309.0, -2668769.0]",0.3218294573120443
177,-19.0,1162,"[-686500.0, -1312476.0, -1655336.0, -1991086.0, -2671946.0]",0.3212791006359722
178,-19.0,1163,"[-688959.0, -1315831.0, -1658706.0, -1994681.0, -2674881.0]",0.3207319089822728
179,-19.0,1164,"[-691352.0, -1319064.0, -1661924.0, -1998094.0, -2677574.0]",0.32018771424272713
180,-19.0,1165,"[-693679.0, -1322175.0, -1664990.0, -2001325.0, -2680025.0]",0.3196463511848685
181,-19.0,1166,"[-695940.0, -1325164.0, -1667904.0, -2004374.0, -2682234.0]",0.3191076572755962
182,-19.0,1167,"[-698135.0, -1328031.0, -1670666.0, -2007241.0, -2684201.0]",0.31857147251031614
183,-19.0,1168,"[-700264.0, -1330776.0, -1673276.0, -2009926.0, -2685926.0]",0.31803763924721506
184,-19.0,1169,"[-702327.0, -1333399.0, -1675734.0, -2012429.0, -2687409.0]",0.3175060020462953
185,-19.0,1170,"[-704324.0, -1335900.0, -1678040.0, -2014750.0, -2688650.0]",0.3169764075128146
186,-19.0,1171,"[-706255.0, -1338279.0, -1680194.0, -2016889.0, -2689649.0]",0.31644870414478676
187,-19.0,1172,"[-708120.0, -1340536.0, -1682196.0, -2018846.0, -2690406.0]",0.31592274218421956
188,-19.0,1173,"[-709919.0, -1342671.0, -1684046.0, -2020621.0, -2690921.0]",0.3153983734717711
189,-19.0,1174,"[-711652.0, -1344684.0, -1685744.0, -2022214.0, -2691194.0]",0.31487545130452554
190,-19.0,1175,"[-713319.0, -1346575.0, -1687290.0, -2023625.0, -2691225.0]",0.31435383029659303
191,-19.0,1176,"[-714920.0, -1348344.0, -1688684.0, -2024854.0, -2691014.0]",0.31383336624225183
192,-19.0,1177,"[-716455.0, -1349991.0, -1689926.0, -2025901.0, -2690561.0]",0.31331391598135877
193,-19.0,1178,"[-717924.0, -1351516.0, -1691016.0, -2026766.0, -2689866.0]",0.3127953372667595
194,-19.0,1179,"[-719327.0, -1352919.0, -1691954.0, -2027449.0, -2688929.0]",0.31227748863343985
195,-18.5,1115,"[-476683.0, -980880.0, -1280472.5, -1563032.5, -2189960.0]",0.35636305990360845
196,-18.5,1116,"[-482244.0, -989969.0, -1290986.5, -1575181.5, -2204269.0]",0.35532712280192275
197,-18.5,1117,"[-487739.0, -998936.0, -1301348.5, -1587148.5, -2218336.0]",0.3543125450063911
198,-18.5,1118,"[-493168.0, -1007781.0, -1311558.5, -1598933.5, -2232161.0]",0.3533184859658962
199,-18.5,1119,"[-498531.0, -1016504.0, -1321616.5, -1610536.5, -2245744.0]",0.35234414453934393
200,-18.5,1120,"[-503828.0, -1025105.0, -1331522.5, -1621957.5, -2259085.0]",0.35138875662352786
201,-18.5,1121,"[-509059.0, -1033584.0, -1341276.5, -1633196.5, -2272184.0]",0.3504515929477266
202,-18.5,1122,"[-514224.0, -1041941.0, -1350878.5, -1644253.5, -2285041.0]",0.3495319570214345
203,-18.5,1123,"[-519323.0, -1050176.0, -1360328.5, -1655128.5, -2297656.0]",0.3486291832228811
204,-18.5,1124,"[-524356.0, -1058289.0, -1369626.5, -1665821.5, -2310029.0]",0.34774263501710856
205,-18.5,1125,"[-529323.0, -1066280.0, -1378772.5, -1676332.5, -2322160.0]",0.3468717032933938
206,-18.5,1126,"[-534224.0, -1074149.0, -1387766.5, -1686661.5, -2334049.0]",0.34601580481270083
207,-18.5,1127,"[-539059.0, -1081896.0, -1396608.5, -1696808.5, -2345696.0]",0.3451743807566726
208,-18.5,1128,"[-543828.0, -1089521.0, -1405298.5, -1706773.5, -2357101.0]",0.3443468953704051
209,-18.5,1129,"[-548531.0, -1097024.0, -1413836.5, -1716556.5, -2368264.0]",0.34353283469191565
210,-18.5,1130,"[-553168.0, -1104405.0, -1422222.5, -1726157.5, -2379185.0]",0.3427317053618177
211,-18.5,1131,"[-557739.0, -1111664.0, -1430456.5, -1735576.5, -2389864.0]",0.3419430335072592
212,-18.5,1132,"[-562244.0, -1118801.0, -1438538.5, -1744813.5, -2400301.0]",0.341166363694678
